REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-19,Canada,2016A000011124,Dairy products,2002=100,17,units,0,v41690993,2.22,134.4,,,,1
Jan-19,Canada,2016A000011124,Fresh milk,2002=100,17,units,0,v41690994,2.23,144.4,,,,1
Jan-19,Canada,2016A000011124,Whole milk (2013=100),2013=100,25,units,0,v122665861,2.322,105.9,,,,1
Jan-19,Canada,2016A000011124,Low-fat milk (2013=100),2013=100,25,units,0,v122665862,2.323,104.5,,,,1
Jan-19,Canada,2016A000011124,Butter,2002=100,17,units,0,v41690995,2.24,146.3,,,,1
Jan-19,Canada,2016A000011124,Cheese,2002=100,17,units,0,v41690996,2.25,125,,,,1
Jan-19,Canada,2016A000011124,Cheddar cheese (2013=100),2013=100,25,units,0,v122665863,2.324,92.1,,,,1
Jan-19,Canada,2016A000011124,Processed cheese (2013=100),2013=100,25,units,0,v122665864,2.325,90,,,,1
Jan-19,Canada,2016A000011124,Unripened or fresh cheese (2013=100),2013=100,25,units,0,v122665865,2.326,111.4,,,,1
Jan-19,Canada,2016A000011124,Mozzarella cheese (2013=100),2013=100,25,units,0,v122665866,2.327,92,,,,1
Jan-19,Canada,2016A000011124,Ice cream and related products,2002=100,17,units,0,v41690997,2.26,126.8,,,,1
Jan-19,Canada,2016A000011124,Other dairy products,2002=100,17,units,0,v41690998,2.27,136.6,,,,1
Jan-19,Canada,2016A000011124,Eggs,2002=100,17,units,0,v41690999,2.28,154.1,,,,1
Jan-19,Canada,2016A000011124,Bakery and cereal products (excluding baby food),2002=100,17,units,0,v41691000,2.29,153.8,,,,1
Jan-19,Canada,2016A000011124,Bakery products,2002=100,17,units,0,v41691001,2.3,163.2,,,,1
Jan-19,Canada,2016A000011124,"Bread, rolls and buns",2002=100,17,units,0,v41691002,2.31,176.4,,,,1
Jan-19,Canada,2016A000011124,Cookies and crackers,2002=100,17,units,0,v41691003,2.32,149.3,,,,1
Jan-19,Canada,2016A000011124,Crackers and crisp breads (2013=100),2013=100,25,units,0,v122665867,2.328,120.9,,,,1
Jan-19,Canada,2016A000011124,Cookies and sweet biscuits (2013=100),2013=100,25,units,0,v122665868,2.329,106.7,,,,1
Jan-19,Canada,2016A000011124,Other bakery products,2002=100,17,units,0,v41691004,2.33,149.9,,,,1
Jan-19,Canada,2016A000011124,Cereal products (excluding baby food),2002=100,17,units,0,v41691005,2.34,137,,,,1
Jan-19,Canada,2016A000011124,Rice and rice-based mixes,2002=100,17,units,0,v41691006,2.35,147.8,,,,1
Jan-19,Canada,2016A000011124,Breakfast cereal and other cereal products (excluding baby food),2002=100,17,units,0,v41691007,2.36,125.3,,,,1
Jan-19,Canada,2016A000011124,Pasta products,2002=100,17,units,0,v41691008,2.37,147.7,,,,1
Jan-19,Canada,2016A000011124,Dry or fresh pasta (2013=100),2013=100,25,units,0,v122665869,2.33,91.4,,,,1
Jan-19,Canada,2016A000011124,Pasta mixes (2013=100),2013=100,25,units,0,v122665870,2.331,112.4,,,,1
Jan-19,Canada,2016A000011124,Flour and flour-based mixes,2002=100,17,units,0,v41691009,2.38,151.4,,,,1
Jan-19,Canada,2016A000011124,"Fruit, fruit preparations and nuts",2002=100,17,units,0,v41691010,2.39,136.1,,,,1
Jan-19,Canada,2016A000011124,Fresh fruit,2002=100,17,units,0,v41691011,2.4,133.5,,,,1
Jan-19,Canada,2016A000011124,Apples,2002=100,17,units,0,v41691012,2.41,158.4,,,,1
Jan-19,Canada,2016A000011124,Oranges,2002=100,17,units,0,v41691013,2.42,141.3,,,,1
Jan-19,Canada,2016A000011124,Bananas,2002=100,17,units,0,v41691014,2.43,131.3,,,,1
Jan-19,Canada,2016A000011124,Other fresh fruit,2002=100,17,units,0,v41691015,2.44,124,,,,1
Jan-19,Canada,2016A000011124,Preserved fruit and fruit preparations,2002=100,17,units,0,v41691016,2.45,132.4,,,,1
Jan-19,Canada,2016A000011124,Fruit juices,2002=100,17,units,0,v41691017,2.46,136.2,,,,1
Jan-19,Canada,2016A000011124,Other preserved fruit and fruit preparations,2002=100,17,units,0,v41691018,2.47,124.6,,,,1
Jan-19,Canada,2016A000011124,Canned fruit (2013=100),2013=100,25,units,0,v122665871,2.332,110.7,,,,1
Jan-19,Canada,2016A000011124,"Jam, jelly and other preserves (2013=100)",2013=100,25,units,0,v122665872,2.333,106.4,,,,1
Jan-19,Canada,2016A000011124,Dried and dehydrated fruit (2013=100),2013=100,25,units,0,v122665873,2.334,114.9,,,,1
Jan-19,Canada,2016A000011124,Frozen fruit (2013=100),2013=100,25,units,0,v122665874,2.335,89.7,,,,1
Jan-19,Canada,2016A000011124,Nuts and seeds,2002=100,17,units,0,v41691019,2.48,156.3,,,,1
Jan-19,Canada,2016A000011124,Vegetables and vegetable preparations,2002=100,17,units,0,v41691020,2.49,154.9,,,,1
Jan-19,Canada,2016A000011124,Fresh vegetables,2002=100,17,units,0,v41691021,2.5,159.8,,,,1
Jan-19,Canada,2016A000011124,Potatoes,2002=100,17,units,0,v41691022,2.51,129.6,,,,1
Jan-19,Canada,2016A000011124,Tomatoes,2002=100,17,units,0,v41691023,2.52,173.3,,,,1
Jan-19,Canada,2016A000011124,Lettuce,2002=100,17,units,0,v41691024,2.53,164.7,,,,1
Jan-19,Canada,2016A000011124,Other fresh vegetables,2002=100,17,units,0,v41691025,2.54,169.5,,,,1
Jan-19,Canada,2016A000011124,Preserved vegetables and vegetable preparations,2002=100,17,units,0,v41691026,2.55,139.2,,,,1
Jan-19,Canada,2016A000011124,Frozen and dried vegetables,2002=100,17,units,0,v41691027,2.56,142.2,,,,1
Jan-19,Canada,2016A000011124,Canned vegetables and other vegetable preparations,2002=100,17,units,0,v41691028,2.57,139.3,,,,1
Jan-19,Canada,2016A000011124,Other food products and non-alcoholic beverages,2002=100,17,units,0,v41691029,2.58,135.4,,,,1
Jan-19,Canada,2016A000011124,Sugar and confectionery,2002=100,17,units,0,v41691030,2.59,144.6,,,,1
Jan-19,Canada,2016A000011124,Sugar and syrup,2002=100,17,units,0,v41691031,2.6,115.4,,,,1
Jan-19,Canada,2016A000011124,Confectionery,2002=100,17,units,0,v41691032,2.61,150.8,,,,1
Jan-19,Canada,2016A000011124,Edible fats and oils,2002=100,17,units,0,v41691033,2.62,146.4,,,,1
Jan-19,Canada,2016A000011124,Margarine,2002=100,17,units,0,v41691034,2.63,153.9,,,,1
Jan-19,Canada,2016A000011124,Other edible fats and oils,2002=100,17,units,0,v41691035,2.64,137.5,,,,1
Jan-19,Canada,2016A000011124,Coffee and tea,2002=100,17,units,0,v41691036,2.65,131,,,,1
Jan-19,Canada,2016A000011124,Coffee,2002=100,17,units,0,v41691037,2.66,133,,,,1
Jan-19,Canada,2016A000011124,Roasted or ground coffee (2013=100),2013=100,25,units,0,v122665875,2.336,92.7,,,,1
Jan-19,Canada,2016A000011124,Instant and other coffee (2013=100),2013=100,25,units,0,v122665876,2.337,94,,,,1
Jan-19,Canada,2016A000011124,Tea,2002=100,17,units,0,v41691038,2.67,126.8,,,,1
Jan-19,Canada,2016A000011124,"Condiments, spices and vinegars",2002=100,17,units,0,v41691039,2.68,123.4,,,,1
Jan-19,Canada,2016A000011124,Fermented or pickled vegetables (2013=100),2013=100,25,units,0,v122665877,2.338,122.7,,,,1
Jan-19,Canada,2016A000011124,"Sauces, condiments and dips (2013=100)",2013=100,25,units,0,v122665878,2.339,96.6,,,,1
Jan-19,Canada,2016A000011124,"Herbs, spices and seasonings (2013=100)",2013=100,25,units,0,v122665879,2.34,113.3,,,,1
Jan-19,Canada,2016A000011124,Other food preparations,2002=100,17,units,0,v41691040,2.69,141.7,,,,1
Jan-19,Canada,2016A000011124,Soup,2002=100,17,units,0,v41691041,2.7,139,,,,1
Jan-19,Canada,2016A000011124,Baby foods,2002=100,17,units,0,v41691042,2.71,144.4,,,,1
Jan-19,Canada,2016A000011124,Canned infant or junior foods (2013=100),2013=100,25,units,0,v122665880,2.341,116.4,,,,1
Jan-19,Canada,2016A000011124,Infant formula (2013=100),2013=100,25,units,0,v122665881,2.342,110.4,,,,1
Jan-19,Canada,2016A000011124,Frozen food preparations,2002=100,17,units,0,v41691043,2.72,124.9,,,,1
Jan-19,Canada,2016A000011124,All other food preparations,2002=100,17,units,0,v41691044,2.73,152.8,,,,1
Jan-19,Canada,2016A000011124,Nut butter (2013=100),2013=100,25,units,0,v122665882,2.343,88.3,,,,1
Jan-19,Canada,2016A000011124,Potato chips and other snack products n.e.c. (2013=100),2013=100,25,units,0,v122665883,2.344,101,,,,1
Jan-19,Canada,2016A000011124,All other miscellaneous food preparations (2013=100),2013=100,25,units,0,v122665884,2.345,122.6,,,,1
Jan-19,Canada,2016A000011124,Non-alcoholic beverages,2002=100,17,units,0,v41691045,2.74,125.1,,,,1
Jan-19,Canada,2016A000011124,Food purchased from restaurants,2002=100,17,units,0,v41691046,2.75,154.9,,,,1
Jan-19,Canada,2016A000011124,Food purchased from table-service restaurants,2002=100,17,units,0,v41691047,2.76,155.7,,,,1
Jan-19,Canada,2016A000011124,Food purchased from fast food and take-out restaurants,2002=100,17,units,0,v41691048,2.77,153,,,,1
Jan-19,Canada,2016A000011124,Food purchased from cafeterias and other restaurants,2002=100,17,units,0,v41691049,2.78,154.9,,,,1
Jan-19,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,143,,,,1
Jan-19,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.8,123.3,,,,1
Jan-19,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,123.2,,,,1
Jan-19,Canada,2016A000011124,Tenants' insurance premiums,2002=100,17,units,0,v41691053,2.82,108.2,,,,1
Jan-19,Canada,2016A000011124,"Tenants' maintenance, repairs and other expenses",2002=100,17,units,0,v41691054,2.83,143.1,,,,1
Jan-19,Canada,2016A000011124,Owned accommodation,2002=100,17,units,0,v41691055,2.84,147.6,,,,1
Jan-19,Canada,2016A000011124,Mortgage interest cost,2002=100,17,units,0,v41691056,2.85,113,,,,1
Jan-19,Canada,2016A000011124,Homeowners' replacement cost,2002=100,17,units,0,v41691057,2.86,168.2,,,,1
Jan-19,Canada,2016A000011124,Property taxes and other special charges,2002=100,17,units,0,v41691058,2.87,163.6,,,,1
Jan-19,Canada,2016A000011124,Homeowners' home and mortgage insurance,2002=100,17,units,0,v41691059,2.88,241.1,,,,1
Jan-19,Canada,2016A000011124,Homeowners' maintenance and repairs,2002=100,17,units,0,v41691060,2.89,141.4,,,,1
Jan-19,Canada,2016A000011124,Other owned accommodation expenses,2002=100,17,units,0,v41691061,2.9,168.7,,,,1
Jan-19,Canada,2016A000011124,"Water, fuel and electricity",2002=100,17,units,0,v41691062,2.91,157.7,,,,1
Jan-19,Canada,2016A000011124,Electricity,2002=100,17,units,0,v41691063,2.92,145.2,,,,1
Jan-19,Canada,2016A000011124,Water,2002=100,17,units,0,v41691064,2.93,251,,,,1
Jan-19,Canada,2016A000011124,Natural gas,2002=100,17,units,0,v41691065,2.94,111.9,,,,1
Jan-19,Canada,2016A000011124,Fuel oil and other fuels,2002=100,17,units,0,v41691066,2.95,227,,,,1
Jan-19,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,123.3,,,,1
Jan-19,Canada,2016A000011124,Household operations,2002=100,17,units,0,v41691068,2.97,139.3,,,,1
Jan-19,Canada,2016A000011124,Communications,2002=100,17,units,0,v41691069,2.98,127.1,,,,1
Jan-19,Canada,2016A000011124,Telephone services,2002=100,17,units,0,v41691070,2.99,121.8,,,,1
Jan-19,Canada,2016A000011124,Postal and other communications services,2002=100,17,units,0,v41691071,2.1,202.5,,,,1
Jan-19,Canada,2016A000011124,Internet access services (200212=100),200212=100,16,units,0,v41693216,2.297,128.9,,,,1
Jan-19,Canada,2016A000011124,Telephone equipment (201104=100),201104=100,22,units,0,v53996596,2.313,85.1,,,,1
Jan-19,Canada,2016A000011124,Child care and housekeeping services,2002=100,17,units,0,v41691072,2.101,171.3,,,,1
Jan-19,Canada,2016A000011124,Child care services,2002=100,17,units,0,v41691073,2.102,165.9,,,,1
Jan-19,Canada,2016A000011124,Housekeeping services,2002=100,17,units,0,v41691074,2.103,185.9,,,,1
Jan-19,Canada,2016A000011124,Household cleaning products,2002=100,17,units,0,v41691075,2.104,116.7,,,,1
Jan-19,Canada,2016A000011124,Detergents and soaps (other than personal care),2002=100,17,units,0,v41691076,2.105,101.9,,,,1
Jan-19,Canada,2016A000011124,Laundry detergents and soaps (2013=100),2013=100,25,units,0,v122665885,2.346,102.6,,,,1
Jan-19,Canada,2016A000011124,Detergents and rinse agents for dish washing (2013=100),2013=100,25,units,0,v122665886,2.347,110.9,,,,1
Jan-19,Canada,2016A000011124,Other household cleaning products,2002=100,17,units,0,v41691077,2.106,137,,,,1
Jan-19,Canada,2016A000011124,Household cleaning and polishing products (2013=100),2013=100,25,units,0,v122665887,2.348,101.8,,,,1
Jan-19,Canada,2016A000011124,Bleach and other household chemical products (2013=100),2013=100,25,units,0,v122665888,2.349,107.9,,,,1
Jan-19,Canada,2016A000011124,Fabric softener (2013=100),2013=100,25,units,0,v122665889,2.35,98.7,,,,1
Jan-19,Canada,2016A000011124,"Paper, plastic and aluminum foil supplies",2002=100,17,units,0,v41691078,2.107,131.6,,,,1
Jan-19,Canada,2016A000011124,Paper supplies,2002=100,17,units,0,v41691079,2.108,133.8,,,,1
Jan-19,Canada,2016A000011124,Household paper supplies (2013=100),2013=100,25,units,0,v122665890,2.351,106.2,,,,1
Jan-19,Canada,2016A000011124,Stationery (2013=100),2013=100,25,units,0,v122665891,2.352,115.7,,,,1
Jan-19,Canada,2016A000011124,Plastic and aluminum foil supplies,2002=100,17,units,0,v41691080,2.109,124,,,,1
Jan-19,Canada,2016A000011124,Plastic supplies (2013=100),2013=100,25,units,0,v122665892,2.353,104,,,,1
Jan-19,Canada,2016A000011124,Foil supplies (2013=100),2013=100,25,units,0,v122665893,2.354,108.8,,,,1
Jan-19,Canada,2016A000011124,Other household goods and services,2002=100,17,units,0,v41691081,2.11,149.5,,,,1
Jan-19,Canada,2016A000011124,Pet food and supplies,2002=100,17,units,0,v41691082,2.111,146.5,,,,1
Jan-19,Canada,2016A000011124,"Seeds, plants and cut flowers",2002=100,17,units,0,v41691083,2.112,125.5,,,,1
Jan-19,Canada,2016A000011124,Other horticultural goods,2002=100,17,units,0,v41691084,2.113,109,,,,1
Jan-19,Canada,2016A000011124,Other household supplies,2002=100,17,units,0,v41691085,2.114,114.4,,,,1
Jan-19,Canada,2016A000011124,Other household services,2002=100,17,units,0,v41691086,2.115,186.4,,,,1
Jan-19,Canada,2016A000011124,Financial services (200212=100),200212=100,16,units,0,v41693229,2.298,146.8,,,,1
Jan-19,Canada,2016A000011124,Household furnishings and equipment,2002=100,17,units,0,v41691087,2.116,95.8,,,,1
Jan-19,Canada,2016A000011124,Furniture and household textiles,2002=100,17,units,0,v41691088,2.117,94.1,,,,1
Jan-19,Canada,2016A000011124,Furniture,2002=100,17,units,0,v41691089,2.118,90.4,,,,1
Jan-19,Canada,2016A000011124,Upholstered furniture,2002=100,17,units,0,v41691090,2.119,92.6,,,,1
Jan-19,Canada,2016A000011124,Wooden furniture,2002=100,17,units,0,v41691091,2.12,94.7,,,,1
Jan-19,Canada,2016A000011124,Other furniture,2002=100,17,units,0,v41691092,2.121,84.1,,,,1
Jan-19,Canada,2016A000011124,Household textiles,2002=100,17,units,0,v41691093,2.122,107.5,,,,1
Jan-19,Canada,2016A000011124,Window coverings,2002=100,17,units,0,v41691094,2.123,134.8,,,,1
Jan-19,Canada,2016A000011124,Bedding and other household textiles,2002=100,17,units,0,v41691095,2.124,96.3,,,,1
Jan-19,Canada,2016A000011124,Household equipment,2002=100,17,units,0,v41691097,2.126,86.3,,,,1
Jan-19,Canada,2016A000011124,Household appliances,2002=100,17,units,0,v41691098,2.127,83.6,,,,1
Jan-19,Canada,2016A000011124,Cooking appliances,2002=100,17,units,0,v41691099,2.128,81.3,,,,1
Jan-19,Canada,2016A000011124,Refrigerators and freezers,2002=100,17,units,0,v41691100,2.129,84.9,,,,1
Jan-19,Canada,2016A000011124,Laundry and dishwashing appliances,2002=100,17,units,0,v41691101,2.13,84.7,,,,1
Jan-19,Canada,2016A000011124,Other household appliances,2002=100,17,units,0,v41691102,2.131,84.6,,,,1
Jan-19,Canada,2016A000011124,"Non-electric kitchen utensils, tableware and cookware",2002=100,17,units,0,v41691103,2.132,73.2,,,,1
Jan-19,Canada,2016A000011124,Tools and other household equipment,2002=100,17,units,0,v41691104,2.135,92.6,,,,1
Jan-19,Canada,2016A000011124,"Household tools (including lawn, garden and snow removal equipment)",2002=100,17,units,0,v41691105,2.136,92.4,,,,1
Jan-19,Canada,2016A000011124,Other household equipment,2002=100,17,units,0,v41691106,2.137,92.8,,,,1
Jan-19,Canada,2016A000011124,Services related to household furnishings and equipment,2002=100,17,units,0,v41691107,2.138,188.2,,,,1
Jan-19,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.139,92.2,,,,1
Jan-19,Canada,2016A000011124,Clothing,2002=100,17,units,0,v41691109,2.14,81.3,,,,1
Jan-19,Canada,2016A000011124,Women's clothing,2002=100,17,units,0,v41691110,2.141,76.4,,,,1
Jan-19,Canada,2016A000011124,Men's clothing,2002=100,17,units,0,v41691111,2.148,91.1,,,,1
Jan-19,Canada,2016A000011124,Children's clothing,2002=100,17,units,0,v41691112,2.155,75,,,,1
Jan-19,Canada,2016A000011124,Footwear,2002=100,17,units,0,v41691113,2.161,91.3,,,,1
Jan-19,Canada,2016A000011124,Women's footwear (excluding athletic),2002=100,17,units,0,v41691114,2.162,90,,,,1
Jan-19,Canada,2016A000011124,Men's footwear (excluding athletic),2002=100,17,units,0,v41691115,2.163,94.1,,,,1
Jan-19,Canada,2016A000011124,Children's footwear (excluding athletic),2002=100,17,units,0,v41691116,2.164,99.8,,,,1
Jan-19,Canada,2016A000011124,Athletic footwear,2002=100,17,units,0,v41691117,2.165,87.9,,,,1
Jan-19,Canada,2016A000011124,"Clothing accessories, watches and jewellery",2002=100,17,units,0,v41691118,2.166,138.1,,,,1
Jan-19,Canada,2016A000011124,Leather clothing accessories,2002=100,17,units,0,v41691119,2.167,98.1,,,,1
Jan-19,Canada,2016A000011124,Other clothing accessories,2002=100,17,units,0,v41691122,2.17,86.4,,,,1
Jan-19,Canada,2016A000011124,Watches,2002=100,17,units,0,v41691120,2.168,113,,,,1
Jan-19,Canada,2016A000011124,Jewellery,2002=100,17,units,0,v41691121,2.169,187.9,,,,1
Jan-19,Canada,2016A000011124,"Clothing material, notions and services",2002=100,17,units,0,v41691123,2.171,152.6,,,,1
Jan-19,Canada,2016A000011124,Clothing material and notions,2002=100,17,units,0,v41691124,2.172,123.5,,,,1
Jan-19,Canada,2016A000011124,Laundry services,2002=100,17,units,0,v41691125,2.173,142.8,,,,1
Jan-19,Canada,2016A000011124,Dry cleaning services,2002=100,17,units,0,v41691126,2.174,167.5,,,,1
Jan-19,Canada,2016A000011124,Other clothing services,2002=100,17,units,0,v41691127,2.175,164.6,,,,1
Jan-19,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,136.6,,,,1
Jan-19,Canada,2016A000011124,Private transportation,2002=100,17,units,0,v41691129,2.177,133.8,,,,1
Jan-19,Canada,2016A000011124,"Purchase, leasing and rental of passenger vehicles",2002=100,17,units,0,v41691130,2.178,104.9,,,,1
Jan-19,Canada,2016A000011124,Purchase and leasing of passenger vehicles,2002=100,17,units,0,v41691131,2.179,104.8,,,,1
Jan-19,Canada,2016A000011124,Purchase of passenger vehicles,2002=100,17,units,0,v41691132,2.18,105.7,,,,1
Jan-19,Canada,2016A000011124,Purchase of automobiles (2013=100),2013=100,25,units,0,v122665894,2.358,111.7,,,,1
Jan-19,Canada,2016A000011124,"Purchase of trucks, vans and sport utility vehicles (2013=100)",2013=100,25,units,0,v122665895,2.359,114.9,,,,1
Jan-19,Canada,2016A000011124,Leasing of passenger vehicles,2002=100,17,units,0,v41691133,2.181,99.5,,,,1
Jan-19,Canada,2016A000011124,Rental of passenger vehicles,2002=100,17,units,0,v41691134,2.182,109.5,,,,1
Jan-19,Canada,2016A000011124,Operation of passenger vehicles,2002=100,17,units,0,v41691135,2.183,158.7,,,,1
Jan-19,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,149.6,,,,1
Jan-19,Canada,2016A000011124,"Passenger vehicle parts, maintenance and repairs",2002=100,17,units,0,v41691137,2.185,146.2,,,,1
Jan-19,Canada,2016A000011124,"Passenger vehicle parts, accessories and supplies",2002=100,17,units,0,v41691138,2.186,135.7,,,,1
Jan-19,Canada,2016A000011124,Passenger vehicle maintenance and repair services,2002=100,17,units,0,v41691139,2.187,152.3,,,,1
Jan-19,Canada,2016A000011124,Other passenger vehicle operating expenses,2002=100,17,units,0,v41691140,2.188,174.2,,,,1
Jan-19,Canada,2016A000011124,Passenger vehicle insurance premiums,2002=100,17,units,0,v41691141,2.189,176.9,,,,1
Jan-19,Canada,2016A000011124,Passenger vehicle registration fees,2002=100,17,units,0,v41691142,2.19,138.3,,,,1
Jan-19,Canada,2016A000011124,Drivers' licences,2002=100,17,units,0,v41691143,2.191,171.7,,,,1
Jan-19,Canada,2016A000011124,Parking fees,2002=100,17,units,0,v41691144,2.192,193.6,,,,1
Jan-19,Canada,2016A000011124,All other passenger vehicle operating expenses,2002=100,17,units,0,v41691145,2.193,139.9,,,,1
Jan-19,Canada,2016A000011124,Public transportation,2002=100,17,units,0,v41691146,2.194,161.4,,,,1
Jan-19,Canada,2016A000011124,Local and commuter transportation,2002=100,17,units,0,v41691147,2.195,159.2,,,,1
Jan-19,Canada,2016A000011124,City bus and subway transportation,2002=100,17,units,0,v41691148,2.196,164.2,,,,1
Jan-19,Canada,2016A000011124,Taxi and other local and commuter transportation services,2002=100,17,units,0,v41691149,2.197,145.7,,,,1
Jan-19,Canada,2016A000011124,Inter-city transportation,2002=100,17,units,0,v41691150,2.198,159.1,,,,1
Jan-19,Canada,2016A000011124,Air transportation,2002=100,17,units,0,v41691151,2.199,157.5,,,,1
Jan-19,Canada,2016A000011124,"Rail, highway bus and other inter-city transportation",2002=100,17,units,0,v41691152,2.2,149.9,,,,1
Jan-19,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,125.9,,,,1
Jan-19,Canada,2016A000011124,Health care,2002=100,17,units,0,v41691154,2.202,127.8,,,,1
Jan-19,Canada,2016A000011124,Health care goods,2002=100,17,units,0,v41713463,2.31,104,,,,1
Jan-19,Canada,2016A000011124,Medicinal and pharmaceutical products,2002=100,17,units,0,v41691156,2.204,99.6,,,,1
Jan-19,Canada,2016A000011124,Prescribed medicines (excluding medicinal cannabis),2002=100,17,units,0,v41691157,2.205,86.3,,,,1
Jan-19,Canada,2016A000011124,Medicinal cannabis,201812=100,388,units,0,v1043024071,2.366,100.1,,,,1
Jan-19,Canada,2016A000011124,Non-prescribed medicines,2002=100,17,units,0,v41691158,2.206,123,,,,1
Jan-19,Canada,2016A000011124,Eye care goods,2002=100,17,units,0,v41713381,2.209,116,,,,1
Jan-19,Canada,2016A000011124,Prescription eyeglasses (2013=100),2013=100,25,units,0,v122665896,2.36,104.8,,,,1
Jan-19,Canada,2016A000011124,Contact lenses (2013=100),2013=100,25,units,0,v122665897,2.361,99.8,,,,1
Jan-19,Canada,2016A000011124,Other eye care goods (2013=100),2013=100,25,units,0,v122665898,2.362,104.8,,,,1
Jan-19,Canada,2016A000011124,Other health care goods,2002=100,17,units,0,v41691159,2.207,119,,,,1
Jan-19,Canada,2016A000011124,Health care services,2002=100,17,units,0,v41713464,2.311,167.2,,,,1
Jan-19,Canada,2016A000011124,Eye care services (200704=100),200704=100,19,units,0,v41693244,2.301,129.8,,,,1
Jan-19,Canada,2016A000011124,Dental care services,2002=100,17,units,0,v41691161,2.21,161.7,,,,1
Jan-19,Canada,2016A000011124,Other health care services,2002=100,17,units,0,v41691162,2.211,183.8,,,,1
Jan-19,Canada,2016A000011124,Personal care,2002=100,17,units,0,v41691163,2.212,124.3,,,,1
Jan-19,Canada,2016A000011124,Personal care supplies and equipment,2002=100,17,units,0,v41691164,2.213,107.2,,,,1
Jan-19,Canada,2016A000011124,Personal soap,2002=100,17,units,0,v41691165,2.214,110.6,,,,1
Jan-19,Canada,2016A000011124,Toiletry items and cosmetics,2002=100,17,units,0,v41691166,2.215,103.7,,,,1
